Index Name,Date,Open,High,Low,Close
NIFTY 50,06-Mar-24,22327.5,22497.2,22224.35,22474.05
NIFTY 50,07-Mar-24,22505.3,22525.65,22430,22493.55
NIFTY 50,11-Mar-24,22517.5,22526.6,22307.25,22332.65
NIFTY 50,12-Mar-24,22334.45,22452.55,22256,22335.7
NIFTY 50,13-Mar-24,22432.2,22446.75,21905.65,21997.7
NIFTY 50,14-Mar-24,21982.55,22204.6,21917.5,22146.65
NIFTY 50,15-Mar-24,22064.85,22120.9,21931.7,22023.35
NIFTY 50,18-Mar-24,21990.1,22123.7,21916.55,22055.7
NIFTY 50,19-Mar-24,21946.45,21978.3,21793.1,21817.45
NIFTY 50,20-Mar-24,21843.9,21930.9,21710.2,21839.1
NIFTY 50,21-Mar-24,21989.9,22080.95,21941.3,22011.95
NIFTY 50,22-Mar-24,21932.2,22180.7,21883.3,22096.75
NIFTY 50,26-Mar-24,21947.9,22073.2,21947.55,22004.7
NIFTY 50,27-Mar-24,22053.95,22193.6,22052.85,22123.65
NIFTY 50,28-Mar-24,22163.6,22516,22163.6,22326.9
NIFTY 50,01-Apr-24,22455,22529.95,22427.75,22462
NIFTY 50,02-Apr-24,22458.8,22497.6,22388.15,22453.3
NIFTY 50,03-Apr-24,22385.7,22521.1,22346.5,22434.65
NIFTY 50,04-Apr-24,22592.1,22619,22303.8,22514.65
NIFTY 50,05-Apr-24,22486.4,22537.6,22427.6,22513.7
NIFTY 50,08-Apr-24,22578.35,22697.3,22550.35,22666.3
NIFTY 50,09-Apr-24,22765.1,22768.4,22612.25,22642.75
NIFTY 50,10-Apr-24,22720.25,22775.7,22673.7,22753.8
NIFTY 50,12-Apr-24,22677.4,22726.45,22503.75,22519.4
NIFTY 50,15-Apr-24,22339.05,22427.45,22259.55,22272.5
NIFTY 50,16-Apr-24,22125.3,22213.75,22079.45,22147.9
NIFTY 50,18-Apr-24,22212.35,22326.5,21961.7,21995.85
NIFTY 50,19-Apr-24,21861.5,22179.55,21777.65,22147
NIFTY 50,22-Apr-24,22336.9,22375.65,22198.15,22336.4
NIFTY 50,23-Apr-24,22447.05,22447.55,22349.45,22368
NIFTY 50,24-Apr-24,22421.55,22476.45,22384,22402.4
NIFTY 50,25-Apr-24,22316.9,22625.95,22305.25,22570.35
NIFTY 50,26-Apr-24,22620.4,22620.4,22385.55,22419.95
NIFTY 50,29-Apr-24,22475.55,22655.8,22441.9,22643.4
NIFTY 50,30-Apr-24,22679.65,22783.35,22568.4,22604.85
NIFTY 50,02-May-24,22567.85,22710.5,22567.85,22648.2
NIFTY 50,03-May-24,22766.35,22794.7,22348.05,22475.85
NIFTY 50,06-May-24,22561.6,22588.8,22409.45,22442.7
NIFTY 50,07-May-24,22489.75,22499.05,22232.05,22302.5
NIFTY 50,08-May-24,22231.2,22368.65,22185.2,22302.5
NIFTY 50,09-May-24,22224.8,22307.75,21932.4,21957.5
NIFTY 50,10-May-24,21990.95,22131.3,21950.3,22055.2
NIFTY 50,13-May-24,22027.95,22131.65,21821.05,22104.05
NIFTY 50,14-May-24,22112.9,22270.05,22081.25,22217.85
NIFTY 50,15-May-24,22255.6,22297.55,22151.75,22200.55
NIFTY 50,16-May-24,22319.2,22432.25,22054.55,22403.85
NIFTY 50,17-May-24,22415.25,22502.15,22345.65,22466.1
NIFTY 50,18-May-24,22512.85,22520.25,22470.05,22502
NIFTY 50,21-May-24,22404.55,22591.1,22404.55,22529.05
NIFTY 50,22-May-24,22576.6,22629.5,22483.15,22597.8
NIFTY 50,23-May-24,22614.1,22993.6,22577.45,22967.65
NIFTY 50,24-May-24,22930.75,23026.4,22908,22957.1
NIFTY 50,27-May-24,23038.95,23110.8,22871.2,22932.45
NIFTY 50,28-May-24,22977.15,22998.55,22858.5,22888.15
NIFTY 50,29-May-24,22762.75,22825.5,22685.45,22704.7
NIFTY 50,30-May-24,22617.45,22705.75,22417,22488.65
NIFTY 50,31-May-24,22568.1,22653.75,22465.1,22530.7
NIFTY 50,03-Jun-24,23337.9,23338.7,23062.3,23263.9
NIFTY 50,04-Jun-24,23179.5,23179.5,21281.45,21884.5
NIFTY 50,05-Jun-24,22128.35,22670.4,21791.95,22620.35
NIFTY 50,06-Jun-24,22798.6,22910.15,22642.6,22821.4
NIFTY 50,07-Jun-24,22821.85,23320.2,22789.05,23290.15
